Fsw,L,Ro,V(eff),V(pin),V(pout),V(pmos),V(pdiode),V(pcc),V(pci),V(pco),V(pli),V(plo)
40000.0,3.3e-05,0.5,0.8619970486948758,202.70097576583478,174.78336200629863,6.324350681587043,15.317496029848876,7.264767144138291,1.787681836451175,-4.558440855755806,0.5124798096590396,4.125875186700043
40000.0,3.3e-05,1.0,0.9061987484879037,204.4084675946596,185.26577944421692,3.9865144311527625,11.039770269510882,8.5329713251875,2.23638174468392,-5.652639239023862,0.8805443259956246,2.0987885692981734
40000.0,3.3e-05,4.0,0.9459034487276312,202.35739821084383,191.46281187224616,2.432876380917085,5.5141188945416735,11.171953134508588,3.421813881051623,-8.550645009135318,1.96487865705045,1.44184732141398
40000.0,3.3e-05,20.0,0.957922200941405,195.6506443777104,187.270976123368,2.18114723247991,2.3453113880494625,17.849733556775274,4.89729824749254,-12.359718834301615,1.6144730614347493,1.310715345614822
40000.0,3.3e-05,30.0,0.9548003573886277,193.7296885234922,184.76035060159657,2.157858398239996,1.9312745289157092,18.73060877026176,4.883557072496649,-11.598017016125226,0.9420257544875138,1.322756417956982
40000.0,3.3e-05,100.0,0.9372958752389421,183.61256768221196,171.86947303795915,2.083894066109858,1.344063505241304,25.606974326968402,5.48597048562499,-14.656133067239097,0.7206540757435691,1.5283793884291395
100000.0,2.2e-05,1.0,0.890280699372055,204.24235689177593,181.8972509839749,5.813966591396309,12.395653911889568,8.726514275199962,2.413175711130539,-5.2023304839783195,0.7947120318553478,1.743526612989299
100000.0,2.2e-05,4.0,0.931867010865534,201.51410734687258,187.82982252685085,4.046516801268317,6.843672625654807,11.172036879806743,2.693802824476834,-7.382739206774582,0.8633223320366845,0.5150248034586749
100000.0,2.2e-05,20.0,0.939323883662607,195.47030782523828,183.64078624447046,4.627116592201105,3.6338252634364983,21.725944910418544,3.809369130317093,-15.563853234915351,0.7558734642351077,0.14777012895654165
100000.0,2.2e-05,30.0,0.9351112168084802,193.16448585556122,180.64693608440197,5.113976224571205,3.109337783878782,24.857670167339446,3.8723212891930845,-17.802842824320006,0.6642197944760618,0.1068015371286745
100000.0,2.2e-05,100.0,0.9098871036307465,183.25209243636215,166.70004946561215,8.173811787794216,3.266026700011131,36.384960386803535,3.866717660483083,-28.40683950081912,0.33799425284701323,0.10209245822646824
100000.0,3.3e-05,0.5,0.8433613099865285,203.77339103489632,171.92100578327086,9.053478439962756,16.83615476902582,7.9048660517420775,2.2299139325877175,-4.240381427832964,0.47233526638270656,3.3448553740412152
100000.0,3.3e-05,1.0,0.8918227069143227,203.45596639474368,181.44089529745276,5.79192170535872,12.523594697070257,8.495499686298945,2.351388637758459,-4.977676623743581,0.5401569483125724,1.5121055108548553
100000.0,3.3e-05,4.0,0.9316046064812485,201.0019083682506,187.30163191608358,4.1552238986682735,7.077354834750286,12.10654371901278,2.7681941636846332,-7.811105321391396,0.4992596558177566,0.1190015100995219
100000.0,3.3e-05,20.0,0.9360486050751503,195.17958075457554,182.69911802283963,5.161357563492728,4.2795577211066815,21.22516574541665,3.5352619392678553,-14.950665373740328,0.1761677076663444,-0.18786711419225333
100000.0,3.3e-05,30.0,0.9312235205380898,192.7680109949218,179.48473621713984,5.775867987961641,3.905777667686723,24.2190615956978,3.5489880384715673,-17.001614610624973,-0.10371422532731492,-0.299845135706671
100000.0,3.3e-05,100.0,0.8981617668395336,182.10217917913124,163.55190063786932,10.271960447904915,5.394433683543804,33.81527796387956,3.4105032242921376,-27.786589720525395,-0.013046529085281075,-0.26439690549280476
200000.0,2.2e-05,0.5,0.8116531371203246,204.36595600596866,165.94232380663829,13.535361472245258,18.841335421530495,8.169142325245868,2.44643881895634,-4.380033942221789,0.7015624169625513,3.3047607433151107
200000.0,2.2e-05,1.0,0.8645439242985812,201.52277369029235,174.2632003524927,8.790326541278851,14.597511201623975,9.038685000345769,2.6845351918178464,-5.260036429423123,0.7261893679795787,1.576540747031753
200000.0,2.2e-05,4.0,0.9060868907797308,196.43000876647477,178.00348448197144,6.884036973545954,9.139429271858374,12.75130521357862,3.1016842974069685,-8.35125548472468,0.5731175815272068,0.21929711651976555
200000.0,2.2e-05,20.0,0.902118511231673,185.41233827030172,167.2509622694336,9.61773003541234,6.851993410741374,23.39134523159144,3.9462663835177065,-18.41855804078073,0.5148241322187924,-0.14655795776150693
200000.0,2.2e-05,30.0,0.8952861228444161,181.1576005571775,162.16498659403595,11.05440480002093,6.850997813523826,23.736660390129057,3.510993609040806,-19.512005336812933,0.2908028648652244,-0.23106503201565973
200000.0,2.2e-05,100.0,0.8795749860397888,165.7782097582087,145.8728472881161,19.33297756711534,8.85338363606658,36.69004127810621,3.7333556712562936,-41.77025788826451,0.31143597893498387,-0.27851718221955607
200000.0,3.3e-05,0.5,0.8127283095364377,203.59985811632967,165.4919920529881,13.486709838163701,18.87805455796381,7.909320792730071,2.385263205354825,-4.247987720226292,0.5393591892514158,3.23349477952611
200000.0,3.3e-05,1.0,0.8661906718354125,200.65438925319668,173.73799314545673,8.76842982598632,14.677461206381496,9.233006892099258,2.7555386598499867,-5.400092366195313,0.5376387840810185,1.3832843362863936
200000.0,3.3e-05,4.0,0.9058789655743842,195.95242343384203,177.5284734369962,7.0189711128084395,9.341273614592124,12.839901378998272,3.049186708365134,-8.38073883985679,0.3736715311038079,-0.03507710903667301
200000.0,3.3e-05,20.0,0.8985589566386573,184.47172691967137,165.72463189330915,10.124765123997296,7.4415503938625065,22.67924411461992,3.7979836343347704,-17.948535979741735,0.27302591789384273,-0.3254040515337163
200000.0,3.3e-05,30.0,0.8755676413883708,190.67874474833852,166.53960283410407,10.766473301046906,11.55989799374583,34.75435380084733,5.0261190863850285,-29.227906463885386,-0.054502919830947544,0.8603396391098723
